PUBSCEN,PRODUCT,value
Reference 2020,Corn,45743.01453269755
Reference 2020,Rape,257.65027023823166
Reference 2020,Soya,14873.601299208183
Reference 2020,Whea,10911.20911915475
Reference 2020,FSHO,221.99527355558814
Reference 2020,FSHM,1248.7234137501832
BAU,Corn,67831.59217146355
BAU,Rape,320.6088959392584
BAU,Soya,22481.50938008498
BAU,Whea,13551.506868024053
BAU,FSHO,11.179525979365462
BAU,FSHM,62.88483363393072
Barriers to Blue Growth,Corn,61622.350341119956
Barriers to Blue Growth,Rape,292.011790102173
Barriers to Blue Growth,Soya,20392.579994233623
Barriers to Blue Growth,Whea,12308.575677980447
Barriers to Blue Growth,FSHO,7.634942910786244
Barriers to Blue Growth,FSHM,42.94655387317262
Blue Transformation,Corn,59428.783418935316
Blue Transformation,Rape,307.25403570987703
Blue Transformation,Soya,19983.95198148269
Blue Transformation,Whea,14955.741784374957
Blue Transformation,FSHO,7.598489145779648
Blue Transformation,FSHM,42.74150144501052
