REGION,YEAR,PUBSCEN,value
EU_BALTIC,2030,Barriers to Blue Growth,299.83586533856874
EU_BALTIC,2030,Blue Transformation,319.7893924666667
EU_BALTIC,2040,BAU,310.88410953200747
EU_BALTIC,2040,Barriers to Blue Growth,290.25689106548003
EU_BALTIC,2040,Blue Transformation,330.84316293333336
EU_BALTIC,2050,BAU,311.56133296475656
EU_BALTIC,2050,Barriers to Blue Growth,280.55000092334046
EU_BALTIC,2050,Blue Transformation,341.8969334
EU_CENTRALEAST,2000,BAU,327.05642745
EU_CENTRALEAST,2000,Barriers to Blue Growth,327.05642745
EU_CENTRALEAST,2000,Blue Transformation,327.05642745
EU_CENTRALEAST,2010,BAU,340.1021667
EU_CENTRALEAST,2010,Barriers to Blue Growth,340.1021667
EU_CENTRALEAST,2010,Blue Transformation,340.1021667
EU_CENTRALEAST,2020,BAU,440.2787503
EU_CENTRALEAST,2020,Barriers to Blue Growth,440.2787503
EU_CENTRALEAST,2020,Blue Transformation,440.2787503
EU_CENTRALEAST,2030,BAU,469.6936580094031
EU_CENTRALEAST,2030,Barriers to Blue Growth,455.4766375229528
EU_CENTRALEAST,2030,Blue Transformation,472.2574764391977
EU_CENTRALEAST,2040,BAU,486.75236269764645
EU_CENTRALEAST,2040,Barriers to Blue Growth,457.13311440328073
EU_CENTRALEAST,2040,Blue Transformation,504.7864389279797
EU_CENTRALEAST,2050,BAU,501.8694123752738
EU_CENTRALEAST,2050,Barriers to Blue Growth,456.08410129455484
EU_CENTRALEAST,2050,Blue Transformation,536.9978870887313
EU_MIDWEST,2000,BAU,1767.37336405
EU_MIDWEST,2000,Barriers to Blue Growth,1767.37336405
EU_MIDWEST,2000,Blue Transformation,1767.37336405
EU_MIDWEST,2010,BAU,1494.4072374
EU_MIDWEST,2010,Barriers to Blue Growth,1494.4072374
EU_MIDWEST,2010,Blue Transformation,1494.4072374
EU_MIDWEST,2020,BAU,1380.9542507
EU_MIDWEST,2020,Barriers to Blue Growth,1380.9542507
EU_MIDWEST,2020,Blue Transformation,1380.9542507
EU_MIDWEST,2030,BAU,1348.4148663466099
EU_MIDWEST,2030,Barriers to Blue Growth,1310.1328554170505
EU_MIDWEST,2030,Blue Transformation,1419.2088052489946
EU_MIDWEST,2040,BAU,1356.4913527027875
EU_MIDWEST,2040,Barriers to Blue Growth,1279.3782151044595
EU_MIDWEST,2040,Blue Transformation,1487.9851632939497
EU_MIDWEST,2050,BAU,1363.1535349368298
EU_MIDWEST,2050,Barriers to Blue Growth,1246.9064518164698
EU_MIDWEST,2050,Blue Transformation,1543.664045916424
EU_NORTH,2000,BAU,3347.77258625
EU_NORTH,2000,Barriers to Blue Growth,3347.77258625
EU_NORTH,2000,Blue Transformation,3347.77258625
EU_NORTH,2010,BAU,2462.144261
EU_NORTH,2010,Barriers to Blue Growth,2462.144261
EU_NORTH,2010,Blue Transformation,2462.144261
EU_NORTH,2020,BAU,2156.18684665
EU_NORTH,2020,Barriers to Blue Growth,2156.18684665
EU_NORTH,2020,Blue Transformation,2156.18684665
EU_NORTH,2030,BAU,2223.9861650677412
EU_NORTH,2030,Barriers to Blue Growth,2151.4230756973616
EU_NORTH,2030,Blue Transformation,2275.4103153788014
EU_NORTH,2040,BAU,2252.173773861732
