VAR_ID,VAR_UNIT,REGION,ITEM,ALLSCEN3,YEAR,OUTPUT
LAND,1000 ha,IndonesiaReg,CrpLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,23568.868608622673
LAND,1000 ha,IndonesiaReg,GrsLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,15455.737492740876
LAND,1000 ha,IndonesiaReg,NatLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,28942.58947617884
LAND,1000 ha,JapanReg,Forest,SCEN_DIET0_CULTURE0_CAPTURE0,2050,23436.029999999995
LAND,1000 ha,JapanReg,CrpLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,2543.5209582191405
LAND,1000 ha,JapanReg,GrsLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,1140.7097161302675
LAND,1000 ha,JapanReg,NatLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,5741.9821588564155
LAND,1000 ha,MalaysiaReg,Forest,SCEN_DIET0_CULTURE0_CAPTURE0,2050,15801.93786871148
LAND,1000 ha,MalaysiaReg,CrpLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,7477.261749631217
LAND,1000 ha,MalaysiaReg,GrsLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,3042.972563061835
LAND,1000 ha,MalaysiaReg,NatLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,820.7887381445105
LAND,1000 ha,MexicoReg,Forest,SCEN_DIET0_CULTURE0_CAPTURE0,2050,69130.05409704326
LAND,1000 ha,MexicoReg,CrpLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,11896.439102425005
LAND,1000 ha,MexicoReg,GrsLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,46762.33125604916
LAND,1000 ha,MexicoReg,NatLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,48469.50054249178
LAND,1000 ha,MiddleEast,Forest,SCEN_DIET0_CULTURE0_CAPTURE0,2050,3315.330000000001
LAND,1000 ha,MiddleEast,CrpLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,16929.564806164788
LAND,1000 ha,MiddleEast,GrsLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,85998.92261354532
LAND,1000 ha,MiddleEast,NatLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,5406.722216445692
LAND,1000 ha,NewZealandReg,Forest,SCEN_DIET0_CULTURE0_CAPTURE0,2050,7295.6
LAND,1000 ha,NewZealandReg,CrpLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,311.27368709458153
LAND,1000 ha,NewZealandReg,GrsLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,8312.881076794469
LAND,1000 ha,NewZealandReg,NatLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,5142.188956110951
LAND,1000 ha,NorthernAf,Forest,SCEN_DIET0_CULTURE0_CAPTURE0,2050,4181.660000000001
LAND,1000 ha,NorthernAf,CrpLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,12542.051553526402
LAND,1000 ha,NorthernAf,GrsLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,39661.02336757492
LAND,1000 ha,NorthernAf,NatLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,4329.152119282407
LAND,1000 ha,Pacific_Islands,Forest,SCEN_DIET0_CULTURE0_CAPTURE0,2050,34258.8899057824
LAND,1000 ha,Pacific_Islands,CrpLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,474.71177217622386
LAND,1000 ha,Pacific_Islands,GrsLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,213.8047270500248
LAND,1000 ha,Pacific_Islands,NatLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,10712.608824991354
LAND,1000 ha,RCAM,Forest,SCEN_DIET0_CULTURE0_CAPTURE0,2050,24325.683129199595
LAND,1000 ha,RCAM,CrpLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,8371.77310628003
LAND,1000 ha,RCAM,GrsLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,23687.791241829498
LAND,1000 ha,RCAM,NatLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,1455.0717430857208
LAND,1000 ha,RCEU,Forest,SCEN_DIET0_CULTURE0_CAPTURE0,2050,5526.040000000001
LAND,1000 ha,RCEU,CrpLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,3601.430884502884
LAND,1000 ha,RCEU,GrsLnd,SCEN_DIET0_CULTURE0_CAPTURE0,2050,4920.343895612114
